Main condition/term,Legacy term 1,Legacy term 2,Legacy term 3,Legacy term 4,Legacy term 5,Legacy term 6,Legacy term 7,Location options,Autosuggestion term 1,Autosuggestion term 2,Autosuggestion term 3,Autosuggestion term 4,Autosuggestion term 5,Autosuggestion term 6,Diagnostic Code(s),Diagnostic Description or DC Group,Classification Code,Classification Text,DBQ (reference only),PACT Presumptive (reference only),Active autosuggestion terms,Active classification mapping,Term 1st appeared,Term updated,Term removed,Autosuggestion updated,Classification updated,Current Notes,Proposed update to DC to Classification mapping March 2024,Comments - v1.0 review,,lookup CC in DC mapping,CC matches CC used in DC to CC mapping,lookup DC code,lookup DC name,lookup DC code,lookup by name,lookup DC code,lookup DC name,,
Adhesions - Digestive,,,,,,,,,,,,,,,,,8920,Adhesions - Digestive,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Adhesions - Gynecological,,,,,,,,,,,,,,,,,8921,Adhesions - Gynecological,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
ovarian adhesions,,,,,,,,,ovarian adhesions,,,,,,7615,disease or injury of the ovary,8921,Adhesions - Gynecological,DBQ GYN Gynecological,no,Active,Active,v1.0,,,,,,,,,8978,no,No Match,No Match,No Match,No Match,7615,disease or injury of the ovary,,7615
Adhesions - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,8922,Adhesions - Heart/Veins/Arteries,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Adhesions - Neurological other System,,,,,,,,,,,,,,,,,8923,Adhesions - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Adhesions - Respiratory,,,,,,,,,,,,,,,,,8924,Adhesions - Respiratory,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Administrative Issue,,,,,,,,,,,,,,,,,8925,Administrative Issue,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Aneurysm - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,8926,Aneurysm - Heart/Veins/Arteries,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Aneurysm - Neurological other System,,,,,,,,,,,,,,,,,8927,Aneurysm - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Arm Condition - Heart/Veins/Arteries,,,,,,,,,,,,,,,,,8928,Arm Condition - Heart/Veins/Arteries,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Arm Condition - Neurological other System,,,,,,,,,,,,,,,,,8929,Arm Condition - Neurological other System,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
Birth Defect in Child,,,,,,,,,,,,,,,,,680,Birth Defect in Child,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
decompression illness,Caisson disease,Caisson,,,,,,,decompression illness,,,,,,5011,decompression illness,8930,Caisson,DBQ RHEUM Arthritis,no,Active,Active,v1.0,,,,,,,,,8930,yes,5011,decompression illness,No Match,No Match,No Match,No Match,,5011
Cancer - Dental and Oral,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cancer - gum,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
cancer - lip,,,,,,,,,,,,,,,,,8931,Cancer - Dental and Oral,,,Inactive,Active,v0.1,,v1.0,,,,,,,,,,,,,,,,
